type,name,module,path,hash
"yaml","manifest","_config","_config/manifest.yaml","da0d2b8009e151899f4ebbd2793ea16078be08a2f26c969e49c77a16abf3c984"
"csv","module-help","bmb","bmb/bmad-bmb-setup/assets/module-help.csv","a92431fa63e7c2e97f315337f0291a49e67492957f2fdf1df4483beda4b18ae1"
"csv","module-help","bmb","bmb/bmad-module-builder/assets/setup-skill-template/assets/module-help.csv","881ab6b3a6fe6ad9803602fec2e385561d6f9794452de98f14f334906a437818"
"csv","module-help","bmb","bmb/module-help.csv","fdd785cdce23073aa07b91f66dab1731c5bcfd56bb05fa6147e7f46527c81ba9"
"md","agent-type-guidance","bmb","bmb/bmad-agent-builder/references/agent-type-guidance.md","49288c0f83f117c4c8c363afc735b593540b974e6dd79abb73b1640b26d236d8"
"md","BOND-template","bmb","bmb/bmad-agent-builder/assets/BOND-template.md","42e6d24ca40b4fc0afd3be8c9ee5ca7cf10a52d00bc67103a6f4753cf7e17298"
"md","build-process","bmb","bmb/bmad-agent-builder/references/build-process.md","ae82c9c431479e987fd98f34d9e8caa8cc2c6230572bc09562ffb2874b0c0156"
"md","build-process","bmb","bmb/bmad-workflow-builder/references/build-process.md","c92f9fb96080a502ec16a52f17a7315c53eabb6069dea2ef0dc856e162efece6"
"md","CAPABILITIES-template","bmb","bmb/bmad-agent-builder/assets/CAPABILITIES-template.md","9e7ead8404d39a9b7f58c414d9bbf1340b8d58fc90fa0ccddb4d53f7cb3521cd"
"md","capability-authoring-template","bmb","bmb/bmad-agent-builder/assets/capability-authoring-template.md","28cb01fe414c0e1442dff56b0805022ef42c855ac28d373eb21604917a5cd2da"
"md","classification-reference","bmb","bmb/bmad-workflow-builder/references/classification-reference.md","cc1c1b2b5f9318dc716ae6e718abd816aeedc9f5ccd326bdd953800cf9cfaf5e"
"md","complex-workflow-patterns","bmb","bmb/bmad-workflow-builder/references/complex-workflow-patterns.md","6380dc06613b79303a33299dea00c53258a1ccd509b917f55eaf528fe8906a2a"
"md","convert-process","bmb","bmb/bmad-workflow-builder/references/convert-process.md","c6d192de8f0fdfa6f0f1b453f1fc1e1fb4899b2d2c3390a45f2bdc5c03f4c406"
"md","create-module","bmb","bmb/bmad-module-builder/references/create-module.md","357deb1a816e6ce757307f8306fb155a7870d7f9e06ba98f13a1d76339280e7b"
"md","CREED-template","bmb","bmb/bmad-agent-builder/assets/CREED-template.md","fe4a8c81b653785e36834dfb33c58c4f7060d599b0cec8453cb89c18f5458ad3"
"md","edit-guidance","bmb","bmb/bmad-agent-builder/references/edit-guidance.md","ed8181561a8830818f88bdf8cf0739b96c4f208f5a65079036a9bd365cc19988"
"md","first-breath-adaptation-guidance","bmb","bmb/bmad-agent-builder/references/first-breath-adaptation-guidance.md","d5a3e4de5587a46e1a76b019d1e8d42c26ee9f6673b2d6f4d796709e84748b5a"
"md","first-breath-config-template","bmb","bmb/bmad-agent-builder/assets/first-breath-config-template.md","12a5be582f346db434f2318b82d59d6881b48d8e5718d26379c01ab99cdd0894"
"md","first-breath-template","bmb","bmb/bmad-agent-builder/assets/first-breath-template.md","53b92b2251117425b750db395f10738b9c9eebaa947f56a4b7144a13cf32c24d"
"md","ideate-module","bmb","bmb/bmad-module-builder/references/ideate-module.md","98bc448d3dc876e29121298f3550542468b0a46ebb2e6658504e3a946954f566"
"md","INDEX-template","bmb","bmb/bmad-agent-builder/assets/INDEX-template.md","7af65c1436f60da1e502093ba3fc4e1a453136972ab35432417ce3975174b89e"
"md","memory-guidance-template","bmb","bmb/bmad-agent-builder/assets/memory-guidance-template.md","1b94a91c98513a6e14124f95baa03c18c2cfe7e0eba021dc546e87206f3526f5"
"md","MEMORY-template","bmb","bmb/bmad-agent-builder/assets/MEMORY-template.md","10bc869959cfd26c93f323d789571026da5aadfae9f7e92653905f80f32299a5"
